Month,Year,Average of Rainfall
Sep,1905,99.51612473
Sep,1906,246.7676803
Sep,1907,0
Sep,1908,3.187575161
Sep,1909,104.8045507
Sep,1910,145.9986997
Sep,1911,304.0129079
Sep,1912,227.5156816
Sep,1913,4.854381919
Sep,1914,197.8595915
Sep,1915,94.51637718
Sep,1916,140.8716532
Sep,1917,363.0024497
Sep,1918,14.17026091
Sep,1919,90.9903385
Sep,1920,0.309569716
Sep,1921,119.5372147
Sep,1922,324.1638099
Sep,1923,73.58676219
Sep,1924,321.8770761
Sep,1925,11.38684162
Sep,1926,61.69339386
Sep,1927,66.49022889
Sep,1928,13.63527381
Sep,1929,38.98137754
Sep,1930,21.91413879
Sep,1931,174.9033386
Sep,1932,144.699055
Sep,1933,286.8741069
Sep,1934,44.16768968
Sep,1935,240.9935751
Sep,1936,145.9262886
Sep,1937,162.5327303
Sep,1938,9.901974946
Sep,1939,147.5178542
Sep,1940,6.163881838
Sep,1941,43.44036365
Sep,1942,138.6530771
Sep,1943,123.3880646
Sep,1944,64.7090849
Sep,1945,293.7968222
Sep,1946,43.58339047
Sep,1947,230.462389
Sep,1948,92.42448759
Sep,1949,121.4672892
Sep,1950,194.5429339
Sep,1951,105.3201275
Sep,1952,0
Sep,1953,30.03699774
Sep,1954,52.83231282
Sep,1955,237.1464572
Sep,1956,23.00360155
Sep,1957,329.2746778
Sep,1958,330.1370662
Sep,1959,76.58056578
Sep,1960,13.37443805
Sep,1961,79.86618358
Sep,1962,143.1793011
Sep,1963,316.0877697
Sep,1964,296.7853707
Sep,1965,105.9779912
Sep,1966,74.84657598
Sep,1967,182.5807868
Sep,1968,3.598299146
Sep,1969,217.3333274
Sep,1970,130.1815317
Sep,1971,138.1466103
Sep,1972,35.44022465
Sep,1973,51.68509671
Sep,1974,4.85212788
Sep,1975,335.1670005
Sep,1976,19.91711196
Sep,1977,129.3354219
Sep,1978,197.0207548
Sep,1979,31.61157937
Sep,1980,74.46691199
Sep,1981,78.26388288
Sep,1982,6.56725359
Sep,1983,146.6076693
Sep,1984,194.2272077
Sep,1985,102.1276534
Sep,1986,92.92173469
Sep,1987,15.84919822
Sep,1988,97.88312122
Sep,1989,318.3986297
Sep,1990,281.4789856
Sep,1991,150.1079711
Sep,1992,118.6836246
Sep,1993,111.9923835
Sep,1994,24.14753394
Sep,1995,194.4185846
Sep,1996,124.0990216
Sep,1997,40.68526402
Sep,1998,110.5956233
Sep,1999,90.49655199
Sep,2000,4.826661736
Sep,2001,15.793367
Sep,2002,202.5863959
Sep,2003,147.1862871
Sep,2004,20.2951889
Sep,2005,166.9627589
Sep,2006,109.2719176
Sep,2007,8.388174355
Sep,2008,20.60920537
Sep,2009,106.3733534
Sep,2010,195.2419554
Sep,2011,82.11943245
Sep,2012,133.0071511
Sep,2013,49.6939392
Sep,2014,37.93730928
Sep,2015,12.95118484
Sep,2016,55.91445732
Sep,2017,178.8074349
Sep,2018,124.6851801
Sep,2019,43.25145686
Sep,2020,16.07649612
Sep,2021,219.1572728
Oct,1901,0
Oct,1902,3.861902013
Oct,1903,8.091752768
Oct,1904,0
Oct,1905,0
Oct,1906,0
Oct,1907,0
Oct,1908,0
Oct,1909,1.445617795
Oct,1910,115.5271649
Oct,1911,39.94178009
Oct,1912,0
Oct,1913,0
Oct,1914,18.49324937
Oct,1915,4.029074967
Oct,1916,49.78701162
Oct,1917,67.56871355
Oct,1918,0
Oct,1919,0
Oct,1920,1.288082123
Oct,1921,26.60472941
Oct,1922,3.064518213
Oct,1923,12.37574482
Oct,1924,41.39076614
Oct,1925,1.26735273
Oct,1926,2.109260798
Oct,1927,33.49602553
Oct,1928,35.65600109
Oct,1929,0.720242321
Oct,1930,6.626006693
Oct,1931,88.55687693
Oct,1932,0
Oct,1933,71.02288818
Oct,1934,0
Oct,1935,5.520935535
Oct,1936,0.249586478
Oct,1937,1.360501528
Oct,1938,3.183037646
Oct,1939,0
Oct,1940,0
Oct,1941,0.192552283
Oct,1942,0
Oct,1943,0
Oct,1944,65.85367286
Oct,1945,15.26577592
Oct,1946,2.49580875
Oct,1947,5.549157023
Oct,1948,21.0253253
Oct,1949,1.101827025
Oct,1950,0
Oct,1951,0.861757398
Oct,1952,0
Oct,1953,1.746798396
Oct,1954,228.8768797
Oct,1955,111.1456006
Oct,1956,329.0046823
Oct,1957,29.43926573
Oct,1958,21.90286341
Oct,1959,1.288527369
Oct,1960,89.73379326
Oct,1961,53.43106508
Oct,1962,0.666590512
Oct,1963,0
Oct,1964,0
Oct,1965,1.974091083
Oct,1966,7.671232224
Oct,1967,5.879161939
Oct,1968,5.797373295
Oct,1969,0
Oct,1970,4.669410437
Oct,1971,6.64981705
Oct,1972,10.65310454
Oct,1973,45.5193243
Oct,1974,30.51516846
Oct,1975,47.50086546
Oct,1976,0
Oct,1977,13.26462078
Oct,1978,3.975451827
Oct,1979,19.85036469
Oct,1980,8.856074557
Oct,1981,0
Oct,1982,5.472498894
Oct,1983,14.56660086
Oct,1984,0
Oct,1985,85.30035305
Oct,1986,1.095157504
Oct,1987,5.488419175
Oct,1988,0
Oct,1989,0.981359899
Oct,1990,3.609274387
Oct,1991,0
Oct,1992,11.4522132
Oct,1993,0
Oct,1994,0
Oct,1995,0
Oct,1996,1.510271788
Oct,1997,24.49914242
Oct,1998,31.77517238
Oct,1999,7.799693599
Oct,2000,0
Oct,2001,0.934689194
Oct,2002,0.196458116
Oct,2003,0
Oct,2004,94.89654446
Oct,2005,0
Oct,2006,2.876398623
Oct,2007,0
